Texto fonte - inglês,Tradução - português,Subprojecto
"Widgets are independent sections of content that can be placed into any widgetized area provided by your theme (commonly called sidebars). To populate your sidebars/widget areas with individual widgets, drag and drop the title bars into the desired area. By default, only the first widget area is expanded. To populate additional widget areas, click on their title bars to expand them.","Os widgets são secções de conteúdo independentes que podem ser colocadas em qualquer área ""widgetizada"" disponíveis no seu tema (normalmente chamadas colunas laterais). Para preencher as colunas laterais/áreas de widget com widgets individuais, arraste-os pela barra de título até ao local pretendido. Por omissão, apenas a primeira área de widgets é expandida. Para preencher áreas de widgets adicionais, clique nas respectivas barras de título para as expandir.",Admin
Begin by choosing a theme to edit from the dropdown menu and clicking the Select button. A list then appears of the theme&#8217;s template files. Clicking once on any file name causes the file to appear in the large Editor box.,Comece por escolher um tema para editar através do selector e clique no botão Seleccionar. Aparecerá uma lista com todos os ficheiros desse tema. Clicar uma vez sobre o nome de qualquer ficheiro fará com que o ficheiro apareça na caixa de edição.,Admin
You can use the Theme Editor to edit the individual CSS and PHP files which make up your theme.,Pode usar o Editor de Temas para editar os ficheiros individuais CSS e PHP que fazem parte do seu tema.,Admin
"Enabling Accessibility Mode, via Screen Options, allows you to use Add and Edit buttons instead of using drag and drop.","Se activar o Modo de Acessibilidade, nas Opções de Ecrã, pode utilizar os botões Adicionar e Editar em vez de usar o método de arrastar e largar.",Admin
"Widgets may be used multiple times. You can give each widget a title, to display on your site, but it&#8217;s not required.","Widgets podem ser utilizados múltiplas vezes. Poderá dar a cada Widget um título específico, para mostrar no seu site, mas não é necessário.",Admin
(no parent),(raiz),Admin
"<strong>Parent</strong> &mdash; You can arrange your pages in hierarchies. For example, you could have an &#8220;About&#8221; page that has &#8220;Life Story&#8221; and &#8220;My Dog&#8221; pages under it. There are no limits to how many levels you can nest pages.","<strong>Página superior</strong> &mdash; Pode dispor as suas páginas em hierarquia. Por exemplo, pode ter uma página de &#8220;Sobre&#8221; e, abaixo desta, as páginas &#8220;História de Vida&#8221; e &#8220;O Meu Cão&#8221;. Não há limite para o número de níveis de páginas.",Admin
"<strong>Template</strong> &mdash; Some themes have custom templates you can use for certain pages that might have additional features or custom layouts. If so, you&#8217;ll see them in this dropdown menu.","<strong>Modelo</strong> &mdash; Alguns temas têm modelos personalizados que pode utilizar para certas páginas e que podem ter funcionalidades adicionais ou layouts personalizados. Se for o caso, estarão visíveis neste menu.",Admin
All updates have been completed.,Todas as actualizações foram concluídas.,Admin
"When adding a new category on this screen, you&#8217;ll fill in the following fields:","Quando adicionar uma nova categoria nesta página, irá preencher os seguintes campos:",Admin
<strong>Name</strong> &mdash; The name is how it appears on your site.,<strong>Nome</strong> &mdash; O nome é como será visto no seu site.,Admin
"<strong>Description</strong> &mdash; The description is not prominent by default; however, some themes may display it.","<strong>Descrição</strong> &mdash; A descrição não é visível por omissão; no entanto, alguns temas podem mostrá-la.",Admin
You can change the display of this screen using the Screen Options tab to set how many items are displayed per screen and to display/hide columns in the table.,Pode personalizar esta página utilizado o separado Opções do Ecrã e definir quantos items são mostrados por página e que colunas na tabela são mostradas/ocultadas.,Admin
"What&#8217;s the difference between categories and tags? Normally, tags are ad-hoc keywords that identify important information in your post (names, subjects, etc) that may or may not recur in other posts, while categories are pre-determined sections. If you think of your site like a book, the categories are like the Table of Contents and the tags are like the terms in the index.","Qual é a diferença entre categorias e etiquetas? Normalmente, as etiquetas são palavras-chave que identificam informação importante num artigo (nomes, assuntos, etc.) e que podem ou não ser utilizadas noutros artigos, ao passo que as categorias são secções pré-determinadas. Se pensar no seu site como um livro, as categorias são o índice geral de conteúdos, as etiquetas são como os termos num índice remissivo.",Admin
"You can use categories to define sections of your site and group related posts. The default category is &#8220;Uncategorized&#8221; until you change it in your <a href=""%s"">writing settings</a>.","Pode usar categorias para definir secções do seu site e agrupar artigos relacionados. A categoria por omissão é &#8220;Sem categoria&#8221; até que a altere nas suas <a href=""%s"">definições de escrita</a>.",Admin
"When adding a new tag on this screen, you&#8217;ll fill in the following fields:","Quando adicionar uma nova etiqueta nesta página, irá preencher os seguintes campos:",Admin
You need JavaScript to choose a part of the image.,Precisa de Javascript para seleccionar uma parte da imagem.,Admin
Image Upload Error,Erro de carregamento de imagem,Admin
Text Color,Cor do texto,Admin
Restore Original Header Image,Repor imagem de cabeçalho original,Admin
This will restore the original header image. You will not be able to restore any customizations.,Isto irá remover a imagem de cabeçalho. Será impossível recuperar qualquer personalização.,Admin
Reset Image,Repor imagem,Admin
Remove Header Image,Remover imagem de cabeçalho,Admin
This will remove the header image. You will not be able to restore any customizations.,Isto irá remover a imagem de cabeçalho. Será impossível recuperar qualquer personalização.,Admin
Crop Header Image,Cortar imagem de cabeçalho,Admin
Default Images,Imagens por omissão,Admin
Delete this comment permanently,Eliminar este comentário definitivamente,Admin
Restore this comment from the Trash,Restaurar este comentário do lixo,Admin
Allow comments,Permitir comentários,Admin
Return to WordPress Updates page,Voltar às actualizações do WordPress,Admin
"<strong>Discussion</strong> &mdash; You can turn comments and pings on or off, and if there are comments on the post, you can see them here and moderate them.","<strong>Discussão</strong> &mdash; Pode activar ou desactivar comentários e pings e, caso existam comentários ao artigo, pode vê-los e moderá-los aqui.",Admin
"<strong>Title</strong> &mdash; Enter a title for your post. After you enter a title, you&#8217;ll see the permalink below, which you can edit.","<strong>Título</strong> &mdash; Introduza um título para o seu artigo. Após a inserção do título, irá ver a ligação permanente abaixo, que pode ser editada.",Admin
"<strong>%s</strong> &mdash; This allows you to associate an image with your post without inserting it. This is usually useful only if your theme makes use of the image as a post thumbnail on the home page, a custom header, etc.","<strong>%s</strong> &mdash; Permite associar uma imagem a um artigo sem a inserir no corpo do texto. Isto é útil apenas se o tema escolhido utilizar a funcionalidade de imagem de destaque como miniatura do artigo na página inicial, num cabeçalho personalizado, etc.",Admin
Hovering over a row in the posts list will display action links that allow you to manage your post. You can perform the following actions:,Pairando sobre uma linha na lista de artigos irá mostrar ligações de acção que lhe permitem gerir o seu artigo. Pode realizar as seguintes acções:,Admin
You can customize the display of this screen in a number of ways:,Pode personalizar a organização desta página de várias maneiras:,Admin
